"Age","Checking Account Status","Credit Amount","Credit History","Duration in month","Housing","Installment rate in % of disposable income","Job type","Number of dependents","Number of existing credits","Other installment plans","Personal Status","Present Employment since","Present residence since","Property","Purpose","Savings Account/Bonds","Telephone","CreditRatingGood?"
42,"Greater than 200 DM",409,"all credits at this bank paid back duly",12,"rent",3,"skilled employee official",1,2,"none","female divorced separated married","1 to 4 years",3,"real estate","radio television","Greater than 1000 DM","none","true"
34,"0 to 200 DM",2415,"existing credits paid back duly till now",7,"own",3,"skilled employee official",1,1,"none","male single","1 to 4 years",2,"real estate","radio television","Less than 100 DM","none","true"
63,"Less than 0 DM",6836,"delay in paying off in the past",60,"own",3,"skilled employee official",1,2,"none","male single","Greater than 7 years",4,"unknown / no property","business","Less than 100 DM","yes registered under the customers name","false"
36,"0 to 200 DM",1913,"existing credits paid back duly till now",18,"own",3,"skilled employee official",1,1,"bank","male married widowed","Less than 1 year",3,"real estate","business","Greater than 1000 DM","yes registered under the customers name","true"
27,"Less than 0 DM",4020,"existing credits paid back duly till now",24,"own",2,"skilled employee official",1,1,"stores","male single","1 to 4 years",2,"car or other not in attribute 6","furniture equipment","Less than 100 DM","none","true"
30,"0 to 200 DM",5866,"existing credits paid back duly till now",18,"own",2,"skilled employee official",1,2,"none","male single","1 to 4 years",2,"car or other not in attribute 6","new car","100 to 500 DM","yes registered under the customers name","true"
57,"no checking account",1264,"critical account other credits existing (not at this bank)",12,"rent",4,"unskilled - resident",1,1,"none","male single","Greater than 7 years",4,"unknown / no property","business","unknown no savings account","none","true"
33,"Greater than 200 DM",1474,"existing credits paid back duly till now",12,"own",4,"management self-employed highly qualified employee officer",1,1,"bank","female divorced separated married","Less than 1 year",1,"building society savings agreement life insurance","furniture equipment","Less than 100 DM","yes registered under the customers name","true"
25,"0 to 200 DM",4746,"critical account other credits existing (not at this bank)",45,"own",4,"unskilled - resident",1,2,"none","male single","Less than 1 year",2,"building society savings agreement life insurance","radio television","Less than 100 DM","none","false"
31,"no checking account",6110,"critical account other credits existing (not at this bank)",48,"for free",1,"skilled employee official",1,1,"bank","male single","1 to 4 years",3,"unknown / no property","education","Less than 100 DM","yes registered under the customers name","true"
37,"Greater than 200 DM",2100,"existing credits paid back duly till now",18,"own",4,"skilled employee official",1,1,"stores","male single","1 to 4 years",2,"real estate","radio television","Less than 100 DM","none","false"
37,"Greater than 200 DM",1225,"existing credits paid back duly till now",10,"own",2,"skilled employee official",1,1,"none","male single","1 to 4 years",2,"car or other not in attribute 6","domestic appliances","Less than 100 DM","yes registered under the customers name","true"
24,"0 to 200 DM",458,"existing credits paid back duly till now",9,"own",4,"skilled employee official",1,1,"none","male single","1 to 4 years",3,"real estate","radio television","Less than 100 DM","none","true"
30,"no checking account",2333,"existing credits paid back duly till now",30,"own",4,"management self-employed highly qualified employee officer",1,1,"bank","male single","Greater than 7 years",2,"car or other not in attribute 6","radio television","500 to 1000 DM","none","true"
26,"0 to 200 DM",1158,"existing credits paid back duly till now",12,"own",3,"skilled employee official",1,1,"none","male divorced separated","1 to 4 years",1,"car or other not in attribute 6","radio television","500 to 1000 DM","yes registered under the customers name","true"
44,"0 to 200 DM",6204,"delay in paying off in the past",18,"own",2,"unskilled - resident",2,1,"none","male single","1 to 4 years",4,"real estate","repairs","Less than 100 DM","yes registered under the customers name","true"
24,"Less than 0 DM",6187,"critical account other credits existing (not at this bank)",30,"rent",1,"skilled employee official",1,2,"none","male married widowed","4 to 7 years",4,"car or other not in attribute 6","used car","100 to 500 DM","none","true"
58,"Less than 0 DM",6143,"critical account other credits existing (not at this bank)",48,"for free",4,"unskilled - resident",1,2,"stores","female divorced separated married","Greater than 7 years",4,"unknown / no property","used car","Less than 100 DM","none","false"
35,"no checking account",1393,"critical account other credits existing (not at this bank)",11,"own",4,"management self-employed highly qualified employee officer",1,2,"none","female divorced separated married","Less than 1 year",4,"car or other not in attribute 6","new car","Less than 100 DM","none","true"
39,"no checking account",2299,"existing credits paid back duly till now",36,"own",4,"skilled employee official",1,1,"none","male single","Greater than 7 years",4,"car or other not in attribute 6","radio television","500 to 1000 DM","none","true"
23,"Less than 0 DM",1352,"existing credits paid back duly till now",6,"rent",1,"unemployed unskilled - non-resident",1,1,"none","female divorced separated married","unemployed",2,"building society savings agreement life insurance","used car","500 to 1000 DM","yes registered under the customers name","true"
39,"no checking account",7228,"critical account other credits existing (not at this bank)",11,"own",1,"unskilled - resident",1,2,"none","male single","1 to 4 years",4,"building society savings agreement life insurance","new car","Less than 100 DM","none","true"
28,"no checking account",2073,"existing credits paid back duly till now",12,"own",4,"skilled employee official",1,1,"none","female divorced separated married","1 to 4 years",2,"real estate","radio television","100 to 500 DM","none","true"
29,"0 to 200 DM",2333,"delay in paying off in the past",24,"own",4,"unskilled - resident",1,1,"bank","male single","Less than 1 year",2,"building society savings agreement life insurance","furniture equipment","unknown no savings account","none","true"
30,"0 to 200 DM",5965,"delay in paying off in the past",27,"own",1,"management self-employed highly qualified employee officer",1,2,"none","male single","Greater than 7 years",2,"car or other not in attribute 6","used car","Less than 100 DM","yes registered under the customers name","true"
25,"no checking account",1262,"existing credits paid back duly till now",12,"own",3,"skilled employee official",1,1,"none","male single","1 to 4 years",2,"car or other not in attribute 6","radio television","Less than 100 DM","none","true"
31,"no checking account",3378,"existing credits paid back duly till now",18,"own",2,"skilled employee official",1,1,"none","male single","1 to 4 years",1,"building society savings agreement life insurance","used car","unknown no savings account","yes registered under the customers name","true"
57,"0 to 200 DM",2225,"delay in paying off in the past",36,"for free",4,"skilled employee official",1,2,"bank","male single","Greater than 7 years",4,"unknown / no property","new car","Less than 100 DM","yes registered under the customers name","false"
26,"no checking account",783,"all credits at this bank paid back duly",6,"own",1,"unskilled - resident",2,1,"stores","male single","1 to 4 years",2,"real estate","new car","unknown no savings account","none","true"
52,"0 to 200 DM",6468,"existing credits paid back duly till now",12,"own",2,"management self-employed highly qualified employee officer",1,1,"none","male single","unemployed",1,"unknown / no property","radio television","unknown no savings account","yes registered under the customers name","false"
31,"no checking account",9566,"critical account other credits existing (not at this bank)",36,"own",2,"skilled employee official",1,2,"stores","female divorced separated married","1 to 4 years",2,"car or other not in attribute 6","radio television","Less than 100 DM","none","true"
23,"Greater than 200 DM",1961,"existing credits paid back duly till now",18,"own",3,"management self-employed highly qualified employee officer",1,1,"none","female divorced separated married","Greater than 7 years",2,"car or other not in attribute 6","new car","Less than 100 DM","none","true"
23,"Less than 0 DM",6229,"critical account other credits existing (not at this bank)",36,"rent",4,"unskilled - resident",1,2,"none","female divorced separated married","Less than 1 year",4,"unknown / no property","furniture equipment","Less than 100 DM","yes registered under the customers name","false"
27,"0 to 200 DM",1391,"existing credits paid back duly till now",9,"own",2,"skilled employee official",1,1,"bank","male married widowed","1 to 4 years",1,"real estate","business","Less than 100 DM","yes registered under the customers name","true"
50,"0 to 200 DM",1537,"critical account other credits existing (not at this bank)",15,"own",4,"skilled employee official",1,2,"none","male single","Greater than 7 years",4,"real estate","radio television","unknown no savings account","yes registered under the customers name","true"
61,"0 to 200 DM",1953,"no credits taken all credits paid back duly",36,"for free",4,"management self-employed highly qualified employee officer",1,1,"none","male single","Greater than 7 years",4,"unknown / no property","business","Less than 100 DM","yes registered under the customers name","false"
25,"0 to 200 DM",14421,"no credits taken all credits paid back duly",48,"own",2,"skilled employee official",1,1,"none","male single","1 to 4 years",2,"car or other not in attribute 6","business","Less than 100 DM","yes registered under the customers name","false"
26,"no checking account",3181,"existing credits paid back duly till now",24,"own",4,"skilled employee official",1,1,"none","female divorced separated married","Less than 1 year",4,"building society savings agreement life insurance","radio television","Less than 100 DM","yes registered under the customers name","true"
48,"no checking account",5190,"existing credits paid back duly till now",27,"own",4,"skilled employee official",2,4,"none","male single","Greater than 7 years",4,"building society savings agreement life insurance","repairs","unknown no savings account","yes registered under the customers name","true"
29,"no checking account",2171,"existing credits paid back duly till now",12,"own",2,"skilled employee official",1,1,"bank","female divorced separated married","Less than 1 year",2,"car or other not in attribute 6","radio television","Less than 100 DM","none","true"
22,"0 to 200 DM",1007,"existing credits paid back duly till now",12,"own",4,"skilled employee official",1,1,"none","male married widowed","1 to 4 years",1,"real estate","new car","Greater than 1000 DM","none","true"
37,"no checking account",1819,"existing credits paid back duly till now",36,"for free",4,"skilled employee official",1,1,"stores","male single","1 to 4 years",4,"unknown / no property","education","Less than 100 DM","yes registered under the customers name","false"
25,"no checking account",2394,"existing credits paid back duly till now",36,"own",4,"skilled employee official",1,1,"none","female divorced separated married","1 to 4 years",4,"car or other not in attribute 6","radio television","unknown no savings account","none","true"
30,"no checking account",8133,"existing credits paid back duly till now",36,"own",1,"skilled employee official",1,1,"bank","female divorced separated married","1 to 4 years",2,"building society savings agreement life insurance","used car","Less than 100 DM","none","true"
46,"no checking account",730,"critical account other credits existing (not at this bank)",7,"rent",4,"unskilled - resident",1,2,"none","male single","Greater than 7 years",2,"building society savings agreement life insurance","radio television","unknown no savings account","yes registered under the customers name","true"
51,"Less than 0 DM",1164,"critical account other credits existing (not at this bank)",8,"for free",3,"management self-employed highly qualified employee officer",2,2,"bank","male single","Greater than 7 years",4,"unknown / no property","used car0","Less than 100 DM","yes registered under the customers name","true"
41,"0 to 200 DM",5954,"critical account other credits existing (not at this bank)",42,"own",2,"unskilled - resident",1,2,"bank","female divorced separated married","4 to 7 years",1,"real estate","business","Less than 100 DM","none","true"
40,"Less than 0 DM",1977,"existing credits paid back duly till now",36,"own",4,"management self-employed highly qualified employee officer",1,1,"none","male single","Greater than 7 years",4,"unknown / no property","education","unknown no savings account","yes registered under the customers name","false"
66,"Less than 0 DM",1526,"critical account other credits existing (not at this bank)",12,"for free",4,"management self-employed highly qualified employee officer",1,2,"none","male single","Greater than 7 years",4,"unknown / no property","used car","Less than 100 DM","none","true"
34,"Less than 0 DM",3965,"existing credits paid back duly till now",42,"own",4,"skilled employee official",1,1,"none","male single","Less than 1 year",3,"car or other not in attribute 6","radio television","Less than 100 DM","none","false"
51,"0 to 200 DM",4771,"delay in paying off in the past",11,"own",2,"skilled employee official",1,1,"none","male single","4 to 7 years",4,"building society savings agreement life insurance","radio television","Less than 100 DM","none","true"
39,"no checking account",9436,"no credits taken all credits paid back duly",54,"own",2,"unskilled - resident",2,1,"none","male single","1 to 4 years",2,"building society savings agreement life insurance","used car","unknown no savings account","none","true"
22,"0 to 200 DM",3832,"existing credits paid back duly till now",30,"own",2,"skilled employee official",1,1,"none","male married widowed","Less than 1 year",1,"building society savings agreement life insurance","furniture equipment","Less than 100 DM","none","true"
44,"no checking account",5943,"existing credits paid back duly till now",24,"own",1,"skilled employee official",1,2,"none","female divorced separated married","Less than 1 year",1,"car or other not in attribute 6","radio television","unknown no savings account","yes registered under the customers name","false"
47,"no checking account",1213,"existing credits paid back duly till now",15,"own",4,"skilled employee official",1,1,"stores","male single","Greater than 7 years",3,"building society savings agreement life insurance","radio television","500 to 1000 DM","yes registered under the customers name","true"
24,"no checking account",1568,"existing credits paid back duly till now",18,"rent",3,"unskilled - resident",1,1,"none","female divorced separated married","1 to 4 years",4,"building society savings agreement life insurance","business","100 to 500 DM","none","true"
58,"Less than 0 DM",1755,"existing credits paid back duly till now",24,"own",4,"unskilled - resident",1,1,"none","female divorced separated married","Greater than 7 years",4,"real estate","used car0","Less than 100 DM","yes registered under the customers name","true"
52,"Less than 0 DM",2315,"existing credits paid back duly till now",10,"own",3,"unskilled - resident",1,1,"none","male single","Greater than 7 years",4,"real estate","radio television","Less than 100 DM","none","true"
29,"no checking account",1412,"critical account other credits existing (not at this bank)",12,"own",4,"management self-employed highly qualified employee officer",1,2,"none","female divorced separated married","1 to 4 years",2,"real estate","business","Less than 100 DM","yes registered under the customers name","true"
27,"0 to 200 DM",1295,"critical account other credits existing (not at this bank)",18,"own",4,"skilled employee official",1,2,"none","female divorced separated married","Less than 1 year",1,"building society savings agreement life insurance","furniture equipment","Less than 100 DM","none","true"
47,"0 to 200 DM",12612,"existing credits paid back duly till now",36,"for free",1,"skilled employee official",2,1,"none","male single","1 to 4 years",4,"unknown / no property","education","100 to 500 DM","yes registered under the customers name","false"
30,"Less than 0 DM",2249,"existing credits paid back duly till now",18,"own",4,"management self-employed highly qualified employee officer",2,1,"none","male single","4 to 7 years",3,"car or other not in attribute 6","new car","100 to 500 DM","yes registered under the customers name","true"
28,"Less than 0 DM",1108,"no credits taken all credits paid back duly",12,"own",4,"skilled employee official",1,2,"none","male single","4 to 7 years",3,"real estate","repairs","Less than 100 DM","none","false"
56,"no checking account",618,"critical account other credits existing (not at this bank)",12,"own",4,"skilled employee official",1,1,"none","male single","Greater than 7 years",4,"real estate","radio television","Less than 100 DM","none","true"
54,"Less than 0 DM",1409,"critical account other credits existing (not at this bank)",12,"own",4,"skilled employee official",1,1,"none","male single","Greater than 7 years",3,"real estate","used car","Less than 100 DM","none","true"
33,"no checking account",797,"critical account other credits existing (not at this bank)",12,"own",4,"unskilled - resident",2,1,"bank","female divorced separated married","Greater than 7 years",3,"building society savings agreement life insurance","radio television","unknown no savings account","none","false"
20,"Greater than 200 DM",3617,"critical account other credits existing (not at this bank)",24,"rent",4,"skilled employee official",1,2,"none","male single","Greater than 7 years",4,"unknown / no property","furniture equipment","unknown no savings account","none","true"
54,"0 to 200 DM",1318,"existing credits paid back duly till now",12,"own",4,"skilled employee official",1,1,"none","male single","Greater than 7 years",4,"real estate","new car","Greater than 1000 DM","yes registered under the customers name","true"
58,"0 to 200 DM",15945,"no credits taken all credits paid back duly",54,"rent",3,"skilled employee official",1,1,"none","male single","Less than 1 year",4,"unknown / no property","business","Less than 100 DM","yes registered under the customers name","false"
61,"no checking account",2012,"critical account other credits existing (not at this bank)",12,"own",4,"skilled employee official",1,1,"none","female divorced separated married","4 to 7 years",2,"car or other not in attribute 6","education","unknown no savings account","none","true"
34,"0 to 200 DM",2622,"existing credits paid back duly till now",18,"own",4,"skilled employee official",1,1,"none","male single","1 to 4 years",4,"car or other not in attribute 6","business","100 to 500 DM","none","true"
36,"0 to 200 DM",2337,"critical account other credits existing (not at this bank)",36,"own",4,"skilled employee official",1,1,"none","male single","Greater than 7 years",4,"real estate","radio television","Less than 100 DM","none","true"
36,"0 to 200 DM",7057,"delay in paying off in the past",20,"rent",3,"management self-employed highly qualified employee officer",2,2,"bank","male single","4 to 7 years",4,"building society savings agreement life insurance","used car","unknown no savings account","yes registered under the customers name","true"
41,"no checking account",1469,"existing credits paid back duly till now",24,"rent",4,"unskilled - resident",1,1,"none","male married widowed","Greater than 7 years",4,"real estate","new car","100 to 500 DM","none","true"
24,"0 to 200 DM",2323,"existing credits paid back duly till now",36,"rent",4,"skilled employee official",1,1,"none","male single","4 to 7 years",4,"car or other not in attribute 6","radio television","Less than 100 DM","none","true"
24,"no checking account",932,"delay in paying off in the past",6,"own",3,"skilled employee official",1,1,"none","female divorced separated married","1 to 4 years",2,"real estate","radio television","Less than 100 DM","none","true"
35,"0 to 200 DM",1919,"critical account other credits existing (not at this bank)",9,"rent",4,"skilled employee official",1,1,"none","male single","4 to 7 years",3,"car or other not in attribute 6","furniture equipment","Less than 100 DM","yes registered under the customers name","true"
26,"no checking account",2445,"existing credits paid back duly till now",12,"rent",2,"skilled employee official",1,1,"none","male married widowed","Less than 1 year",4,"car or other not in attribute 6","used car","unknown no savings account","yes registered under the customers name","true"
39,"0 to 200 DM",11938,"critical account other credits existing (not at this bank)",24,"own",2,"management self-employed highly qualified employee officer",2,2,"none","male single","1 to 4 years",3,"car or other not in attribute 6","used car0","Less than 100 DM","yes registered under the customers name","false"
39,"no checking account",6458,"all credits at this bank paid back duly",18,"own",2,"management self-employed highly qualified employee officer",2,2,"bank","male single","Greater than 7 years",4,"unknown / no property","new car","Less than 100 DM","yes registered under the customers name","false"
32,"0 to 200 DM",6078,"existing credits paid back duly till now",12,"own",2,"skilled employee official",1,1,"none","male single","4 to 7 years",2,"car or other not in attribute 6","new car","Less than 100 DM","none","true"
30,"Less than 0 DM",7721,"existing credits paid back duly till now",24,"own",1,"skilled employee official",1,1,"none","female divorced separated married","Less than 1 year",2,"building society savings agreement life insurance","furniture equipment","unknown no savings account","yes registered under the customers name","true"
35,"0 to 200 DM",1410,"existing credits paid back duly till now",14,"own",1,"skilled employee official",1,1,"none","male married widowed","Greater than 7 years",2,"real estate","business","500 to 1000 DM","yes registered under the customers name","true"
31,"0 to 200 DM",1449,"delay in paying off in the past",6,"own",1,"skilled employee official",2,2,"bank","male divorced separated","Greater than 7 years",2,"car or other not in attribute 6","business","100 to 500 DM","none","true"
23,"Greater than 200 DM",392,"existing credits paid back duly till now",15,"rent",4,"skilled employee official",1,1,"none","female divorced separated married","Less than 1 year",4,"building society savings agreement life insurance","education","Less than 100 DM","yes registered under the customers name","true"
28,"0 to 200 DM",6260,"existing credits paid back duly till now",18,"rent",3,"unskilled - resident",1,1,"none","male single","4 to 7 years",3,"real estate","new car","Less than 100 DM","none","true"
25,"no checking account",7855,"critical account other credits existing (not at this bank)",36,"own",4,"skilled employee official",1,2,"stores","female divorced separated married","1 to 4 years",2,"real estate","new car","Less than 100 DM","yes registered under the customers name","false"
35,"Less than 0 DM",1680,"existing credits paid back duly till now",12,"own",3,"skilled employee official",1,1,"none","male married widowed","Greater than 7 years",1,"real estate","radio television","500 to 1000 DM","none","true"
47,"no checking account",3578,"critical account other credits existing (not at this bank)",48,"own",4,"skilled employee official",1,1,"none","male single","Greater than 7 years",1,"real estate","radio television","unknown no savings account","yes registered under the customers name","true"
30,"Less than 0 DM",7174,"existing credits paid back duly till now",42,"own",4,"management self-employed highly qualified employee officer",1,1,"none","female divorced separated married","4 to 7 years",3,"car or other not in attribute 6","radio television","unknown no savings account","yes registered under the customers name","false"
27,"Less than 0 DM",2132,"critical account other credits existing (not at this bank)",10,"rent",2,"skilled employee official",1,2,"none","female divorced separated married","Less than 1 year",3,"real estate","furniture equipment","unknown no savings account","none","true"
23,"Less than 0 DM",4281,"critical account other credits existing (not at this bank)",33,"own",1,"skilled employee official",1,2,"none","female divorced separated married","1 to 4 years",4,"car or other not in attribute 6","furniture equipment","500 to 1000 DM","none","false"
36,"0 to 200 DM",2366,"critical account other credits existing (not at this bank)",12,"own",3,"management self-employed highly qualified employee officer",1,1,"none","male divorced separated","4 to 7 years",3,"car or other not in attribute 6","new car","500 to 1000 DM","yes registered under the customers name","true"
25,"Less than 0 DM",1835,"existing credits paid back duly till now",21,"own",3,"skilled employee official",1,2,"none","female divorced separated married","1 to 4 years",2,"real estate","radio television","Less than 100 DM","yes registered under the customers name","false"
41,"no checking account",3868,"critical account other credits existing (not at this bank)",24,"rent",4,"management self-employed highly qualified employee officer",1,2,"none","female divorced separated married","Greater than 7 years",2,"car or other not in attribute 6","used car","Less than 100 DM","yes registered under the customers name","true"
24,"no checking account",1768,"existing credits paid back duly till now",12,"rent",3,"unskilled - resident",1,1,"none","male single","1 to 4 years",2,"real estate","furniture equipment","Less than 100 DM","none","true"
63,"Greater than 200 DM",781,"critical account other credits existing (not at this bank)",10,"for free",4,"skilled employee official",1,2,"none","male single","Greater than 7 years",4,"unknown / no property","new car","Less than 100 DM","yes registered under the customers name","true"
27,"0 to 200 DM",1924,"existing credits paid back duly till now",18,"rent",4,"skilled employee official",1,1,"none","female divorced separated married","Less than 1 year",3,"real estate","furniture equipment","unknown no savings account","none","false"
30,"Less than 0 DM",2121,"critical account other credits existing (not at this bank)",12,"own",4,"skilled employee official",1,2,"none","male single","1 to 4 years",2,"building society savings agreement life insurance","new car","Less than 100 DM","none","true"
40,"Less than 0 DM",701,"existing credits paid back duly till now",12,"own",4,"unskilled - resident",1,1,"none","male married widowed","1 to 4 years",2,"real estate","radio television","Less than 100 DM","none","true"
30,"0 to 200 DM",639,"existing credits paid back duly till now",12,"own",4,"skilled employee official",1,1,"none","male single","1 to 4 years",2,"car or other not in attribute 6","repairs","Less than 100 DM","none","false"
34,"0 to 200 DM",1860,"critical account other credits existing (not at this bank)",12,"own",4,"management self-employed highly qualified employee officer",1,2,"none","male single","unemployed",2,"car or other not in attribute 6","used car","Less than 100 DM","yes registered under the customers name","true"
29,"Less than 0 DM",3499,"critical account other credits existing (not at this bank)",12,"own",3,"skilled employee official",1,2,"none","female divorced separated married","1 to 4 years",2,"real estate","new car","Less than 100 DM","none","false"
24,"0 to 200 DM",8487,"existing credits paid back duly till now",48,"own",1,"skilled employee official",1,1,"none","female divorced separated married","4 to 7 years",2,"car or other not in attribute 6","new car","unknown no savings account","none","true"
29,"Less than 0 DM",6887,"delay in paying off in the past",36,"own",4,"skilled employee official",1,1,"stores","male single","1 to 4 years",3,"building society savings agreement life insurance","education","Less than 100 DM","yes registered under the customers name","false"
27,"no checking account",2708,"existing credits paid back duly till now",15,"own",2,"unskilled - resident",1,2,"bank","male single","Less than 1 year",3,"building society savings agreement life insurance","furniture equipment","Less than 100 DM","none","true"
47,"no checking account",1984,"existing credits paid back duly till now",18,"for free",4,"skilled employee official",1,2,"bank","male single","1 to 4 years",4,"unknown / no property","furniture equipment","Less than 100 DM","none","true"
21,"no checking account",10144,"existing credits paid back duly till now",60,"own",2,"skilled employee official",1,1,"none","female divorced separated married","4 to 7 years",4,"real estate","radio television","100 to 500 DM","yes registered under the customers name","true"
38,"no checking account",1240,"critical account other credits existing (not at this bank)",12,"own",4,"skilled employee official",1,2,"none","female divorced separated married","Greater than 7 years",2,"real estate","radio television","unknown no savings account","yes registered under the customers name","true"
27,"no checking account",8613,"delay in paying off in the past",27,"own",2,"skilled employee official",1,2,"none","male single","1 to 4 years",2,"car or other not in attribute 6","used car","Greater than 1000 DM","none","true"
66,"0 to 200 DM",766,"existing credits paid back duly till now",12,"own",4,"unskilled - resident",1,1,"none","male single","1 to 4 years",3,"real estate","radio television","500 to 1000 DM","none","false"
35,"0 to 200 DM",2728,"critical account other credits existing (not at this bank)",15,"own",4,"skilled employee official",1,3,"bank","male single","4 to 7 years",2,"real estate","radio television","unknown no savings account","yes registered under the customers name","true"
44,"Greater than 200 DM",1881,"existing credits paid back duly till now",12,"rent",2,"unskilled - resident",1,1,"none","female divorced separated married","1 to 4 years",2,"car or other not in attribute 6","radio television","Less than 100 DM","yes registered under the customers name","true"
